淨值,聲量:00896,成交股數,成交筆數,股數/筆數,外陸資買賣超股數(不含外資自營商),自營商買賣超股數,TW_加權指數_收盤價,TW_加權指數_成交股數,NASDAQ_收盤價,NASDAQ_成交股數,S&P500_收盤價,S&P500_成交股數,DJI_收盤價,DJI_成交股數
0.8771226241674158,0.5704569236224456,-0.16796947111689658,0.7706758273661674,-0.7705576383670649,0.4311340719163043,0.6854528671874476,0.7690249056564045,0.992265479804156,0.554233838694185,0.6782321137667243,0.5611558578002216,0.6055617108717489,0.5661867377842388,0.6127689194150883
0.23368953846621407,0.2821405053017349,0.06488526510820461,0.4090281965703262,-0.2584970925285026,-0.8029993991854543,-0.6245602001678424,0.28354521623488177,-0.15989019930480874,0.5766012354081276,0.19906646936008873,0.41661259763699515,0.08895295631096169,0.8826752894859584,-0.38388943921396945
0.5932052880037909,0.6540088737056754,-0.7187353778733222,0.027993440973953253,-0.8324808819234746,-0.32609449257559353,-0.1426692712598246,0.6613611963217743,0.558278108091509,0.5355296183359516,-0.9635521083505586,0.6969862169900943,-0.09665216483188463,0.7734892091621027,-0.29249389138066395
0.6942966974407248,-0.8703332854255648,0.5391973024899119,0.3636471805259368,0.5773064505472951,-0.0507710204088296,0.8097252970717277,0.4958614954972239,-0.5786640232168272,-0.8254950155412618,0.1543369466414276,-0.8102740623980833,0.6514453320968053,-0.8143333326300706,-0.7342369028805168
0.5837011038587717,0.12499821185753171,0.8006400380925716,-0.4067539630651703,0.9342153585278602,0.07453710107754422,-0.051935422659317804,0.7718975934277168,0.12751147984772043,-0.7849092045377194,-0.27861288719866417,-0.6587967908951305,0.12273459187410837,0.40238963551899487,-0.5028020390526817
0.9369819564864723,0.2827822335220573,-0.2384565907191343,0.9912617782807673,-0.631074524554855,0.9012460890097641,0.9658238993287808,0.9035792626684476,0.9445469523233625,0.963878787562401,0.8667920803212235,0.9633364544513944,0.7873775631066452,0.7627573393751277,0.9175849164622372
0.16582869684608728,0.0,0.6269355966242609,-0.4466071402829976,0.902118137541403,-0.33798784039700874,-0.4933103233400943,0.08804409204776265,-0.9282761661564287,-0.5401162688190688,0.4919152937415067,-0.7934233478070372,-0.10806672597625568,-0.7654705154650439,-0.32173518988787897
0.9017698616834626,0.8587969154211447,0.740868664249266,-0.9331489650335528,0.7824138190902682,-0.19235025156485486,-0.878432441280264,0.24712188606278782,0.21445553504932163,0.2810678384465511,0.3886972171567777,0.27717871428304713,0.4702663965750103,0.2752240022226894,0.4208939430850159
0.5350081960695682,-0.8228513393936345,0.5847380475023389,-0.9020666377605769,0.792524647586303,-0.3527269497432431,-0.939397622151727,0.3270366689226836,-0.8020639205972908,-0.14087011619481152,0.13201325837728917,0.31183627145240317,-0.46051674335524434,0.1694367842918282,-0.8685312724563846
0.9053900780349668,0.7574652796961576,0.8697683194472577,0.19044302042006678,0.9292755285243377,-0.03271025420590489,-0.03008681077675467,0.9094062324022113,0.8815219900225242,0.9490387775662043,0.9181071743362519,0.9110747580845826,0.8070291625328706,0.6065181897970838,0.9943510994221848
-0.6263176524361334,0.8737972324934281,-0.7859707995644579,0.4350030151761589,-0.7300376889000384,-0.2661983326223802,-0.3975279497971289,0.031761589667632185,0.655498731436092,0.47066108750996527,0.7078191575370983,0.4695031738895336,0.7768490749754874,0.4701404817432508,0.760647571551162
