,外陸資買賣超股數(不含外資自營商),自營商買賣超股數,淨值,聲量:00896,成交股數,成交筆數,股數/筆數,TW_加權指數_收盤價,TW_加權指數_成交股數,NASDAQ_收盤價,NASDAQ_成交股數,S&P500_收盤價,S&P500_成交股數,DJI_收盤價,DJI_成交股數
收盤價,-0.5570487297109382,-0.9233066286198701,-0.16800997701920622,0.0,-0.0068619728809126215,0.4405236105239262,-0.19517782402759146,-0.2024903934630026,0.24386743868604555,-0.31252689608163065,0.6780486767128564,-0.26437326609186573,0.7565024067486112,-0.24743607082473598,0.4180257929828323
收盤價,0.5563819900348859,0.43626808668519074,0.631350522655871,0.6163137122354112,-0.5993383522830142,-0.7923402548971609,-0.3770778405071832,0.6894607506362118,-0.17297633158487855,-0.6119335877880915,-0.07813516402391957,-0.8630123605032329,-0.4533156451632103,-0.7163332834164156,0.6317874388935129
收盤價,-0.7514855007468247,-0.8025027588948156,0.875714847242825,0.0,-0.6023793173145826,0.8292542383327676,-0.8109370772153573,0.6703126016814276,0.8254651420386804,0.6206538566910024,0.07720620032540837,0.7498671925961143,-0.30688116532525506,0.8211336729364689,-0.958725811496621
收盤價,0.7659690964229489,0.27224240614045464,0.49120176164968765,0.0,0.9598496502864351,-0.028258229916664976,0.6890098992353317,0.3536871896261668,0.5486369968673708,-0.2666672793802495,0.9449674530933514,0.06867731817206897,0.13576808766897228,0.31118447514457437,0.4443494033031652
收盤價,0.8377950247439643,-0.03001482575427768,0.8945596394025805,0.8304152731722958,0.27546943924181033,0.5472806910727908,-0.24465118752481751,0.8933912505127595,0.1343052075307908,0.952321215280698,-0.5433064009486619,0.8797905272381316,-0.6576097739889942,0.8422163948075532,-0.6671953978729599
收盤價,-0.11613419199953787,0.3051929786516718,-0.02019937706209097,-0.0984358319724093,-0.8660054552141087,0.17581477112992736,-0.7503032767587593,-0.009221834910491472,-0.5129370995253111,0.3847033097089592,0.7122232695037086,0.3605003559859139,0.6304747076414778,0.30713498558551233,0.852044685135802
收盤價,-0.9671045704943764,-0.06704131302487347,0.499433027634145,-0.5649669524356393,0.8536399783090742,-0.22840657148628787,0.5919761786436826,0.569622044644962,-0.7219903720648037,0.6002828014807762,-0.8697167825155101,0.6960292952954971,-0.9248004554574157,0.37911574177236956,-0.17008713470370376
收盤價,0.28611649921251703,-0.882615345503819,-0.7237006226158853,-0.22742723167221043,-0.44942376658223454,-0.16071503951425656,-0.2404158890781186,-0.3624899922682556,-0.3565307402845944,0.1384802034021468,0.1857545131986153,0.1388756169764428,0.21719836466513112,0.13582059032745766,0.2885149059271324
收盤價,-0.4955810519813419,-0.6410451665087775,-0.27216382463060335,0.759259477289308,-0.18926436045584927,0.8045891850703142,-0.5503805005172823,-0.5637377280688288,-0.31403186405568756,-0.10442784974977576,0.6977947462878016,0.28384640985551773,-0.7643180173739409,0.5995613178375251,-0.45279313238576224
收盤價,-0.8169117106451801,-0.27012134922993053,0.5669469026140996,-0.8539116912992938,0.9231617151689876,0.5194444520253816,0.15476758377132482,0.5383422866282965,-0.5684121021949893,0.8149403924606782,0.21140704820133702,0.8578425545321783,-0.6443870976250164,0.7949944243455185,0.8298358491710399
收盤價,-0.3984196537944902,-0.1493286545938569,0.19633801819538918,-0.04124876391046394,-0.4311319425749676,0.96769665865948,-0.6488251883769798,0.45458526495209167,0.36270895113467766,-0.15297004623871954,0.10226028856598914,-0.30549046436295,0.19694109653152084,-0.3397212662009932,0.2963437509190947
收盤價,-0.35697078357253964,-0.4292524071160767,0.09827445268723865,0.1868165873175011,-0.543110511662175,0.7697054902914253,-0.5999930576476166,0.14295591955155337,-0.17056504259500935,0.30302999253238977,0.322451764308237,0.3013350584575414,0.09882663566252899,0.30069725228265376,0.11380162015077658
