淨值,聲量:00923,成交股數,成交筆數,股數/筆數,外資買賣超股數,投信買賣超股數,自營商買賣超股數,TW_加權指數_收盤價,TW_加權指數_成交股數,NASDAQ_收盤價,NASDAQ_成交股數,S&P500_收盤價,S&P500_成交股數,DJI_收盤價,DJI_成交股數
-0.23009565299220439,0.0,0.595181071994681,0.38556603607797263,-0.17225263357235648,-0.17354060043731628,0.4932836820354053,-0.8126425776239855,-0.3522106425895671,-0.1813518933754707,-0.12274317094396657,0.23827710500971166,-0.1424788144517027,0.44065013929861535,-0.29678395146402436,0.6937175154439496
0.5945226295932659,-0.45318780846844425,-0.8886788604013488,-0.7780939879529007,-0.9221674382884252,-0.9780040921352052,0.1354559798162953,-0.8942219381836528,0.15979975304673702,-0.9488723905022135,-0.7692775507997274,0.19911386059801622,-0.45427499734988186,-0.20385637652706273,0.13062886845093144,0.6831450837968026
0.5080673602279583,-0.627840028413216,0.026741325101069458,0.2159508597655984,-0.19504618131974366,-0.564805881478995,0.0,0.36764950279432257,0.4569165862881584,0.6081459208196035,0.2957989795122979,0.02689336271628002,0.43405424430919887,-0.26851880138432815,0.5149458822103345,-0.8299603744163995
0.17491948925011322,0.0,0.557985264776157,0.6390610120679955,-0.6641554242152483,0.3463522069157176,0.0,-0.6666366446891759,0.20508237361186887,0.7562186982701851,-0.0789736952927789,0.939804131030339,0.28855245027788895,0.2917506943830272,0.5127526340516558,0.2662174759483853
0.920831273975103,0.8163948222593655,0.45725885103126385,0.37007032605772966,0.44413984731579764,0.42112568025209407,0.34689597394730803,0.34281928643125387,0.9292793835249644,0.220560487763341,0.9741345134566124,-0.4900629241966424,0.9197541986834527,-0.6229268192481963,0.8879579293733011,-0.6721611247279877
0.6135260915391957,0.46937211599446577,-0.0657894698247584,0.04680653939332178,-0.152978641749725,-0.5517894401940121,0.0,0.16576687811127225,0.6098520252609092,0.04683369034621493,0.8052153839652295,0.692203801881346,0.8003717392510993,0.8955670768428597,0.7808048672497511,0.6890586664825771
0.49950802373972575,0.8532431056785428,-0.13588456212627656,-0.21701386813139178,-0.07532401349814562,0.33897591512382624,0.0,-0.6591217138126784,0.600524583409193,-0.5917821964455061,0.8867724100095694,-0.7156950493234641,0.933152593519322,-0.9119606479448154,0.7524653788128561,-0.35801191926079534
0.19201351271697079,0.7167590190054339,-0.10910360485785679,0.29761059890120267,-0.7149514702360203,-0.03410064846966772,0.0,-0.6638106316701254,-0.1307337998844685,-0.675550354917563,-0.21227616458006263,-0.3173273126467803,-0.21105063538019483,-0.31603870736962764,-0.21445986201766368,-0.24821889746507056
-0.24852439112818436,0.38821678993691466,0.48834583554433236,0.4178471885987598,-0.33483601183469286,0.7801449718355483,0.0,-0.5859548367380777,0.14428633603661326,-0.26825464979696506,-0.13506876684300428,0.7122707997235087,0.6125270285805977,-0.5612605590903198,0.809604272384556,-0.40688734940475485
0.35794873789012277,0.8587494808318694,-0.9517198469472704,0.3394130219074358,-0.8890110253115782,-0.7008416426526064,0.5639824132518086,-0.5491582407975295,0.375041938363449,-0.04094219059543224,0.6523007521633365,-0.03467714982084937,0.7028955298919117,-0.30973650664353025,0.7242474722329798,0.49878244787275167
0.5324511726794118,-0.7448436329039493,-0.10518528333213828,0.6384663647460802,-0.6667434308847714,-0.5505588269018731,-0.47301719479728055,-0.4883792601159242,0.5519040673531715,0.48678762866428144,0.85240361499456,-0.3631242375119241,0.7559605745184558,-0.15589051127799933,0.7938560430890093,0.02258209749487962
0.17898234845503702,0.39117653553350856,0.705462337542686,0.7565070201598679,-0.8853184525102878,0.3120504040920291,0.0,-0.5366045242094548,0.32401228201717874,-0.20881086669436785,0.05242643507637794,0.19958571695679034,0.051768761290349574,-0.004600377838399639,0.052486199542172436,-0.042687668304240554
