淨值,聲量:00923,成交股數,成交筆數,股數/筆數,外資買賣超股數,自營商買賣超股數,TW_加權指數_收盤價,TW_加權指數_成交股數,NASDAQ_收盤價,NASDAQ_成交股數,S&P500_收盤價,S&P500_成交股數,DJI_收盤價,DJI_成交股數
0.812604508328957,0.8427009716003871,-0.18841611088022187,-0.2618545511434943,0.09084705956647476,0.12444941719800251,0.5876305664805138,0.9608687788416741,0.8090222203159306,0.5078727532265533,0.6666569262136035,0.5147402275576161,0.5620609817713503,0.5201537373366034,0.5129477682204548
0.9917344356225954,-0.4074173160278481,-0.5631442652657785,-0.7798215478841014,0.8156705396778882,0.0670603299154146,0.7800938495594706,0.9111179704213226,-0.2766880632791716,-0.6043393397059786,-0.8818942705851452,-0.687775812297022,0.32018833829658144,0.011156125873033355,0.12177483823259341
0.9972898741356915,0.0,-0.643894751730575,-0.5809882337615807,-0.26834570571641886,-0.14063025835891835,0.4773561881823136,0.9897203422536056,0.05714355875987926,0.9593176276188656,-0.7117669429760908,0.9631940388224375,-0.5826851080620623,0.9112937764964366,-0.4182753765169914
0.9965865497381388,-0.8747215598757356,-0.8690909538973134,-0.9034026077914401,0.5049364997080037,0.5227004638843571,0.930132474993637,0.9107963092547584,-0.1234282943041573,-0.6650205081178311,-0.0649554120424847,-0.63130328737849,0.9045169205152449,-0.64419528064876,-0.7385290698955241
0.988104491218649,0.27800602256427365,0.3709613214497798,-0.31524076350939295,0.7079802459154756,0.6638827152812148,0.4925306443989697,0.9542082151404357,0.4889069214501841,-0.8072709715932784,-0.6591935158420353,-0.4428053411471539,-0.35836525249881684,0.5389799229398963,-0.8698668165343199
0.9989244468367228,-0.44721359549995643,0.9421009174969988,0.8859333704001564,0.9908742025271741,0.06981889055839938,0.9649391014934462,0.9977347601820805,0.9542079443514033,0.9322715321906965,0.906765981611458,0.8344664246422514,0.9177527473981478,0.5261933940805603,0.9863229892312343
0.9894428149975849,-0.09421349202357095,0.49895387136502667,0.5537807481184563,0.5635580391169046,0.06388323817256138,0.4767714582016938,0.974555327775628,0.41132836290588454,0.5444877709572198,0.7962114437282153,0.0843836795257587,0.7248613299091377,-0.3341808820510392,0.9500939450875769
0.9961055090349858,0.6528608808028237,-0.4341984322646117,-0.41114013920102005,-0.19976686896731868,-0.2696696036473088,-0.44005381073175537,0.9881247012163191,-0.009259928894426337,-0.47975772243343984,-0.34186234509561925,-0.4802995420421703,-0.2992021986310331,-0.47928582318709717,-0.2070693121683687
0.9954322971718212,-0.45967296121171375,0.2497853432728648,0.4698538907555963,-0.2400674934848022,0.1465361297864218,0.44219697807149966,0.9721720977830128,-0.7991128529459951,-0.8459995818829902,0.8468931001835601,-0.4493896497096795,0.47004116117692163,0.028011722087102293,-0.20338120162439283
0.9972722320675714,0.7649186132193135,0.16407569228439667,0.3419940319748672,-0.5869103144316375,-0.7828521578420743,0.2094363846820735,0.9915271831820143,0.7633676811584984,0.9552235282663191,0.969970940881262,0.941305883938538,0.9390741225070108,0.7704395828213777,0.8660739698512919
0.9892000038734979,0.03720339306502427,-0.12636621448768676,-0.1957462170707948,0.1238467105899221,-0.7982626072804856,0.2826258846123378,0.9314370907291266,0.5002002266998735,-0.5894677668990197,-0.26101027474744765,-0.5959452789321424,-0.20208447603825075,-0.5975929325803705,-0.14893291298941788
